model_dir,model_name,num_samples,accuracy,precision,recall,f1,confusion_matrix
C:\Users\amitg\OneDrive\Documents\MAFAT\finetuning\models\hebert-baseline,finetuning\models\hebert-baseline,512,0.09375,0.4501833589047812,0.09375,0.07545816727608086,"[[17, 1, 0, 0, 324], [8, 2, 0, 0, 72], [2, 1, 0, 0, 32], [1, 0, 0, 0, 20], [3, 0, 0, 0, 29]]"
C:\Users\amitg\OneDrive\Documents\MAFAT\finetuning\models\hebert-smoke,finetuning\models\hebert-smoke,512,0.66796875,0.4461822509765625,0.66796875,0.5350007318501171,"[[342, 0, 0, 0, 0], [82, 0, 0, 0, 0], [35, 0, 0, 0, 0], [21, 0, 0, 0, 0], [32, 0, 0, 0, 0]]"
