model_dir,model_name,num_samples,accuracy,precision,recall,f1,confusion_matrix,precision_per_class,recall_per_class,f1_per_class,support_per_class
/Users/gilikurtser/Desktop/Dataset and Baseline/finetuning/models/hebert-baseline-5way,finetuning/models/hebert-baseline-5way,512,0.09765625,0.17911688112745097,0.09765625,0.0206398683983168,"[[1, 0, 173, 0, 0], [1, 0, 187, 0, 0], [0, 0, 49, 0, 0], [0, 0, 45, 0, 0], [0, 0, 56, 0, 0]]","[0.5, 0.0, 0.09607843137254903, 0.0, 0.0]","[0.005747126436781609, 0.0, 1.0, 0.0, 0.0]","[0.011363636363636364, 0.0, 0.17531305903398928, 0.0, 0.0]","[174, 188, 49, 45, 56]"
/Users/gilikurtser/Desktop/Dataset and Baseline/finetuning/models/hebert-smoke-balanced-data,finetuning/models/hebert-smoke-balanced-data,512,0.33984375,0.1154937744140625,0.33984375,0.17239887026239067,"[[174, 0, 0, 0, 0], [188, 0, 0, 0, 0], [49, 0, 0, 0, 0], [45, 0, 0, 0, 0], [56, 0, 0, 0, 0]]","[0.33984375, 0.0, 0.0, 0.0, 0.0]","[1.0, 0.0, 0.0, 0.0, 0.0]","[0.5072886297376094, 0.0, 0.0, 0.0, 0.0]","[174, 188, 49, 45, 56]"
